N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.01,4,0,0.34093027266884424,0.34092023652481745,0.3522172776988238,optimal,1.5054624138868131,25.410644276998937,446,4,106
0.12,4,0,0.5808013884864682,0.5807913509313815,0.5871321405670955,optimal,0.7682428605697763,24.801668490981683,446,4,106
0.23,4,0,0.702643839483077,0.7026338368093912,0.7078135966387122,optimal,0.4985586196248713,24.463243658887222,446,4,106
0.34,4,0,0.7863710786793914,0.7863610203306755,0.790769976111745,optimal,0.33866999890493965,25.022953666979447,446,4,106
0.45,4,0,0.8474717161083006,0.8474616776216688,0.851195477106428,optimal,0.2324376099005422,25.385404392145574,446,4,106
0.56,4,0,0.8929942901538287,0.8929841453338393,0.8961690256427971,optimal,0.1581572315120688,24.035675128921866,446,4,106
0.67,4,0,0.927039672588524,0.9270296688861576,0.9296669776735154,optimal,0.1052140837217688,25.163046782137826,446,4,106
0.78,4,0,0.9523088014600011,0.9522987017465908,0.9544691124278177,optimal,0.06722958355278481,25.179857437033206,446,4,106
0.89,4,0,0.9707157410754025,0.9707057111015762,0.9724275343831408,optimal,0.040337350887632024,24.275674507021904,446,4,106
1.0,4,0,0.9836822546844982,0.9836721921632415,0.9849720434918959,optimal,0.021845317818835315,24.591038055019453,446,4,106
0.01,4,1,0.3280350040154344,0.32802497918192225,0.34307436044562906,optimal,1.543406784322973,65.02526242285967,538,4,155
0.12,4,1,0.5028886753860173,0.5028786752495831,0.5161973748442935,optimal,0.9540052903573578,78.62560283392668,538,4,155
0.23,4,1,0.609604207580649,0.6095942028194534,0.6189166013277994,optimal,0.6921830747158128,87.15211471403018,538,4,155
0.34,4,1,0.691208619148076,0.6911986075185731,0.6983020088148468,optimal,0.5180769719388753,68.77558233495802,538,4,155
0.45,4,1,0.7559280864558159,0.7559180593435244,0.7620462044859698,optimal,0.3920496208408168,67.50475050508976,538,4,155
0.56,4,1,0.8087660052750161,0.8087559905873405,0.8145088965294788,optimal,0.2959976381146363,65.97337748482823,538,4,155
0.67,4,1,0.8522962314311644,0.8522862142193093,0.8570659470820484,optimal,0.22252187786837588,67.4623790641781,538,4,155
0.78,4,1,0.8885023745734563,0.8884923642284092,0.8929197558586791,optimal,0.16339756458728036,66.41038981988095,538,4,155
0.89,4,1,0.9181523182676301,0.9181423114064732,0.9215443869181389,optimal,0.1178744388040671,65.62605219893157,538,4,155
1.0,4,1,0.9419068451505376,0.9418968381898769,0.944699020592047,optimal,0.08207333239281907,63.949369663139805,538,4,155
0.01,4,2,0.32803387000253764,0.32802383459223783,0.3433350706290265,optimal,1.542310863172255,133.38445624685846,638,4,204
0.12,4,2,0.49944480571107847,0.4994347459674229,0.5136609924041281,optimal,0.9611115758100031,135.8364442300517,638,4,204
0.23,4,2,0.5959604248704586,0.5959504214103254,0.6077996871308606,optimal,0.7183321626643252,146.26204167702235,638,4,204
0.34,4,2,0.6709916921212429,0.6709816870490379,0.6817048283612794,optimal,0.5527808935249809,146.3407124010846,638,4,204
0.45,4,2,0.7325200462889166,0.7325100416085196,0.7426904614186222,optimal,0.429167045394127,144.34974891506135,638,4,204
0.56,4,2,0.7863095291638034,0.7862995214516588,0.7937263948685198,optimal,0.3332863126978896,145.15223346091807,638,4,204
0.67,4,2,0.8321213324925161,0.8321113255334432,0.8384144250996516,optimal,0.2542645559214676,148.7519826691132,638,4,204
0.78,4,2,0.8711361050163319,0.8711260910932369,0.8763122604722623,optimal,0.19048305113229483,140.8840020589996,638,4,204
0.89,4,2,0.902752501135335,0.9027424766811716,0.9074864798609201,optimal,0.14005194553423825,133.34101167903282,638,4,204
1.0,4,2,0.9288931528537139,0.9288831427860619,0.9323269397126909,optimal,0.10109214044629572,142.73739864304662,638,4,204
