N,n_x,n_trunc,mode,W_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints,num_words,node_values
0.01,3,1,witness,0.4210898391810985,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.5530928617098463,7.492940515158995,8,418.8163758851588,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.36426792901157, -1.2698388846266249, -0.6195485661943908, -0.33375005047224426, -0.18829656994504823, -0.1051779179936864, -0.05112530532851491, -0.00784242987706941]"
0.12,3,1,witness,0.6223843720786569,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.3192310472713498,7.492940515158995,8,416.7483559299726,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.368736339370169, -1.3009920542336004, -0.6715180457333453, -0.3870617531933815, -0.23185206212944284, -0.135392299804481, -0.06770370476830453, -0.010453208654920311]"
0.23,3,1,witness,0.732309696559068,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.090469903226243,7.492940515158995,8,404.68068289617077,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.3754626349044266, -1.3357061873696736, -0.7221689388351512, -0.436699027393415, -0.27231157299514663, -0.16376504938877948, -0.08337368832376671, -0.012983512722392943]"
0.34,3,1,witness,0.8102057939680763,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.8753165170477768,7.492940515158995,8,407.0024507329799,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.3839370366386463, -1.3721947192737622, -0.7696884436255429, -0.48138118102601585, -0.3083156487079445, -0.18921518627044084, -0.09758648059689926, -0.015305301971966704]"
0.45,3,1,witness,0.8674784894811305,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.679800985684893,7.492940515158995,8,401.54345267498866,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.3955704382898335, -1.4097801858256114, -0.8121965830134659, -0.5193424940908881, -0.33873128549362586, -0.21062983420055295, -0.1096025738147726, -0.01728613474535203]"
0.56,3,1,witness,0.9112038748052842,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5045431799285155,7.492940515158995,8,398.20974821201526,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.410852124353465, -1.4466854895554921, -0.8492727471088724, -0.5511123402925137, -0.36371867649916084, -0.2283171321651928, -0.11953401130867437, -0.01890481394710893]"
0.67,3,1,witness,0.9442114867185732,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.3492020872655745,7.492940515158995,8,395.5020349798724,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.4309659303873046, -1.4813978996962753, -0.8804822619363598, -0.576866476462007, -0.383792157498131, -0.24250557128382924, -0.1275024855216257, -0.020225645107888306]"
0.78,3,1,witness,0.9681333316649835,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.2181435335737529,7.492940515158995,8,387.78951193299145,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.455115910351834, -1.5114055193004687, -0.9049449428844631, -0.5964299994433723, -0.3989409326111874, -0.2531951458356981, -0.1335520141226885, -0.02121251703553011]"
0.89,3,1,witness,0.9844624099844533,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.11419806655814269,7.492940515158995,8,373.6726116091013,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.481779089498888, -1.534616891147624, -0.9224584497086512, -0.6101353538075655, -0.40947713319736523, -0.2606281757169953, -0.13774927052262603, -0.021898085001137768]"
1.0,3,1,witness,0.9942972044057935,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.04287128950560529,7.492940515158995,8,370.53168162400834,"[634, 634, 634, 634, 634, 634, 634, 634]",96,"[-3.505005627641808, -1.549734921915936, -0.9332725549353902, -0.6184667207034277, -0.41585712849665, -0.26512341133503853, -0.14029228371335176, -0.022316576911787955]"
