N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words,num_loc_words,num_moment_variables
0.01,3,0,optimal,0.43022664730263965,0.9553886460016656,11,65,8,684
0.12,3,0,optimal,0.6696045570885568,0.982033942000271,11,65,8,684
0.23,3,0,optimal,0.782756463886159,0.915179776999139,11,65,8,684
0.34,3,0,optimal,0.8564444481481263,0.9888138040005288,11,65,8,684
0.45,3,0,optimal,0.9073185275157647,0.8993528819992207,11,65,8,684
0.56,3,0,optimal,0.9428629443349964,0.9864064989997132,11,65,8,684
0.67,3,0,optimal,0.9673721651081822,0.914812423998228,11,65,8,684
0.78,3,0,optimal,0.9836352227222497,1.0072936369979288,11,65,8,684
0.89,3,0,optimal,0.9935990060974567,1.0217854130023625,11,65,8,684
1.0,3,0,optimal,0.9986894083169591,0.9609615379995375,11,65,8,684
0.01,3,1,optimal,0.421150347386002,3.073385663999943,17,96,9,1684
0.12,3,1,optimal,0.6234906849302255,3.3997103809997498,17,96,9,1684
0.23,3,1,optimal,0.7326340637395223,3.1676227829993877,17,96,9,1684
0.34,3,1,optimal,0.8104834618989492,3.3658019750000676,17,96,9,1684
0.45,3,1,optimal,0.8680471384231299,3.296512102999259,17,96,9,1684
0.56,3,1,optimal,0.9116542527360603,3.072899316000985,17,96,9,1684
0.67,3,1,optimal,0.9443952713026809,2.955154183000559,17,96,9,1684
0.78,3,1,optimal,0.9681874492152407,3.1959759579985985,17,96,9,1684
0.89,3,1,optimal,0.9844671714271955,2.8781748170003993,17,96,9,1684
1.0,3,1,optimal,0.9942974527445447,2.842003432997444,17,96,9,1684
0.01,3,2,optimal,0.4211305046878294,8.756696373002342,23,127,10,3197
0.12,3,2,optimal,0.6209513620677024,8.231422522003413,23,127,10,3197
0.23,3,2,optimal,0.7291271317246445,9.473288088000118,23,127,10,3197
0.34,3,2,optimal,0.808550561108677,9.487759367002582,23,127,10,3197
0.45,3,2,optimal,0.8673202721886274,9.009279457000957,23,127,10,3197
0.56,3,2,optimal,0.9114482200666464,8.396338048998587,23,127,10,3197
0.67,3,2,optimal,0.9443614890379579,8.778547830999742,23,127,10,3197
0.78,3,2,optimal,0.9681837750375895,8.724498122999648,23,127,10,3197
0.89,3,2,optimal,0.9844671101188479,9.962373955997464,23,127,10,3197
1.0,3,2,optimal,0.9942973506254366,9.296561314000428,23,127,10,3197
