N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words
0.01,3,0,optimal,0.43022667915014284,1.140600971179083,78,65
0.12,3,0,optimal,0.6696047028347065,1.0251088899094611,78,65
0.23,3,0,optimal,0.7827566002718899,0.9814608108717948,78,65
0.34,3,0,optimal,0.8564444480308385,1.2184707128908485,78,65
0.45,3,0,optimal,0.9073184578307426,0.9160867698956281,78,65
0.56,3,0,optimal,0.9428629441014649,1.0788968459237367,78,65
0.67,3,0,optimal,0.9673723850452728,0.9329749019816518,78,65
0.78,3,0,optimal,0.9836352288486064,0.937355178873986,78,65
0.89,3,0,optimal,0.993598999810457,1.039245642023161,78,65
1.0,3,0,optimal,0.9986892988016227,0.9600552232004702,78,65
0.01,3,1,optimal,0.4210898391810985,2.492676866007969,102,96
0.12,3,1,optimal,0.6223843720786569,2.848696834174916,102,96
0.23,3,1,optimal,0.732309696559068,2.703540227841586,102,96
0.34,3,1,optimal,0.8102057939680763,2.643986484967172,102,96
0.45,3,1,optimal,0.8674784894811305,2.4595107121858746,102,96
0.56,3,1,optimal,0.9112038748052842,2.6778523670509458,102,96
0.67,3,1,optimal,0.9442114867185732,2.385658892802894,102,96
0.78,3,1,optimal,0.9681333316649835,2.2505711999256164,102,96
0.89,3,1,optimal,0.9844624099844533,2.2849743110127747,102,96
1.0,3,1,optimal,0.9942972044057935,2.1215847909916192,102,96
0.01,3,2,optimal,0.4210890065069246,4.749175692908466,128,127
0.12,3,2,optimal,0.6199076430295297,4.975168728968129,128,127
0.23,3,2,optimal,0.7288815912251799,5.392748786136508,128,127
0.34,3,2,optimal,0.8084906888200756,4.834887273143977,128,127
0.45,3,2,optimal,0.8671899799732353,4.981310618808493,128,127
0.56,3,2,optimal,0.9111891774076896,4.7636203449219465,128,127
0.67,3,2,optimal,0.9442101757921063,4.792612157063559,128,127
0.78,3,2,optimal,0.9681328782217834,4.652382911881432,128,127
0.89,3,2,optimal,0.9844622226140315,4.5318840311374515,128,127
1.0,3,2,optimal,0.9942974511511095,4.61314332485199,128,127
