N,n_x,n_trunc,mode,W_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints,num_words,node_values
0.01,2,0,witness,0.5992529713330117,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.9667162927703103,7.492940515158995,8,22.3119124409277,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.4410034005259527, -1.3996460917171172, -0.7475777674471362, -0.4362308495887077, -0.26159308227807687, -0.15240828690552252, -0.07598690127426819, -0.011777842651903903]"
0.12,2,0,witness,0.8166900137072146,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.6798417712490229,7.492940515158995,8,22.460512632038444,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.4453809954596863, -1.429871447994068, -0.8038182651508513, -0.5010776833655252, -0.32003646927995216, -0.1960315766165889, -0.1010022293943304, -0.0158800766489705]"
0.23,2,0,witness,0.9040419578348168,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.44829754278862216,7.492940515158995,8,21.709683877183124,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.452611980891638, -1.4644433653286233, -0.8528315887269743, -0.5500506878943782, -0.36147678659919874, -0.2262738249063253, -0.11824955918079041, -0.01870517884244541]"
0.34,2,0,witness,0.9529384539337027,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.2661493938575163,7.492940515158995,8,21.73454083316028,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.464714134391501, -1.499796396763481, -0.891556403739188, -0.5846379085778268, -0.38945652119718294, -0.2463797925267574, -0.12967288329864018, -0.02057708080690141]"
0.45,2,0,witness,0.980685429416743,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.12962633865442408,7.492940515158995,8,21.622859311988577,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.483803127367022, -1.5302658677093035, -0.9184286682235355, -0.606797689889091, -0.40685166832980757, -0.25875471719381016, -0.13668682640894927, -0.02172561138305236]"
0.56,2,0,witness,0.9949032731453002,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.03844454452303771,7.492940515158995,8,21.704439596971497,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.507324960729401, -1.5504830937370246, -0.9337352168850919, -0.6188075333374772, -0.41611346361996604, -0.2653052880742654, -0.14039393252919716, -0.022332481723534376]"
0.67,2,0,witness,0.9998628737452597,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.0006728338648017175,7.492940515158995,8,22.304431893164292,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.521109809043627, -1.558158907347089, -0.9391086266425067, -0.6229212913029488, -0.4192596160560954, -0.2675250078836427, -0.14164773029730615, -0.022536692720978243]"
0.78,2,0,witness,0.9999999230436223,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",5.655684168735797e-06,7.492940515158995,8,21.98463178705424,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.521377268017877, -1.5582895908073537, -0.939195134650599, -0.6229891582269431, -0.41931166165589157, -0.2675604901550746, -0.1416699028744886, -0.022541653086598924]"
0.89,2,0,witness,0.9999999443125204,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",4.65736858291238e-06,7.492940515158995,8,22.031172760063782,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.521377302941663, -1.558289780637177, -0.9391951752013965, -0.6229891249416573, -0.4193117010766779, -0.26756070519345915, -0.14167020254541898, -0.022541865252962666]"
1.0,2,0,witness,0.9999999486075433,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",4.556884393186467e-06,7.492940515158995,8,21.978638591011986,"[211, 211, 211, 211, 211, 211, 211, 211]",34,"[-3.521377313073519, -1.5582902482968117, -0.9391953743477118, -0.6229892814806648, -0.419311227604134, -0.2675608369170619, -0.14167025122975863, -0.022541425324940828]"
0.01,2,1,witness,0.5992529657716212,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.966710112674384,7.492940515158995,8,47.1169365090318,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.441000342735836, -1.3996489723389878, -0.7475775386148202, -0.43623466153084867, -0.2615963815928733, -0.1524069108642483, -0.07598675585122977, -0.011778838955767097]"
0.12,2,1,witness,0.8166900210902232,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.6798410295973116,7.492940515158995,8,46.430692955851555,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.445379590415423, -1.4298709643040417, -0.8038193796482689, -0.5010784099360188, -0.32003778724757975, -0.19603125138705693, -0.10100184870003338, -0.015880253923261218]"
0.23,2,1,witness,0.9040420157120936,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.4483155831985953,7.492940515158995,8,46.10251305392012,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.452611556612723, -1.4644399679879698, -0.852827693127012, -0.5500463708002715, -0.3614738375534687, -0.22627167092388173, -0.11824812882388737, -0.018705706131185718]"
0.34,2,1,witness,0.9529385192998567,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.26616937920025185,7.492940515158995,8,45.90630326187238,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.4647132593886276, -1.499793286778012, -0.8915515070495109, -0.584635200584896, -0.3894536275613854, -0.2463773807923409, -0.12967176363869057, -0.02057511016528013]"
0.45,2,1,witness,0.9806854248026476,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.129628794062864,7.492940515158995,8,45.80178131302819,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.483804155292342, -1.5302640516430175, -0.9184288754659509, -0.606797890052452, -0.4068510672029252, -0.25875522147631475, -0.13668525988578, -0.02172520007734909]"
0.56,2,1,witness,0.9949031791268648,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.038423103291628624,7.492940515158995,8,46.195035880897194,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.507335859875007, -1.5504829175587556, -0.933739218106404, -0.6188089210670511, -0.4161154124480167, -0.26530673448523745, -0.1403952826584918, -0.02233306566840274]"
0.67,2,1,witness,0.9998628857527017,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.0006631416169929627,7.492940515158995,8,46.99517562799156,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.521113296748193, -1.5581627767593014, -0.9391070721569922, -0.6229234628304229, -0.4192584910742493, -0.2675252049936698, -0.14165005813245132, -0.02253701084672244]"
0.78,2,1,witness,0.9999999501661323,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",2.9564970726904394e-06,7.492940515158995,8,46.41222392185591,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.5213777222256453, -1.5582902740975355, -0.9391953756002756, -0.622989615029201, -0.41931174239311236, -0.2675608326926595, -0.1416702587100274, -0.02254173791346586]"
0.89,2,1,witness,0.9999999563164939,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",3.60109171712239e-06,7.492940515158995,8,46.205585080198944,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.5213779393946907, -1.5582903651649416, -0.9391952484527365, -0.6229897506687402, -0.41931174537682475, -0.26756074353334014, -0.14167000604851013, -0.02254111542749421]"
1.0,2,1,witness,0.999999958853304,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",3.4747184618835747e-06,7.492940515158995,8,46.18065020511858,"[285, 285, 285, 285, 285, 285, 285, 285]",51,"[-3.5213780173740568, -1.5582903949443387, -0.9391952640351197, -0.6229893534330224, -0.4193117192980486, -0.26756074667461777, -0.14167027662984086, -0.02254126805148881]"
0.01,2,2,witness,0.5992530056581672,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.9667290745410847,7.492940515158995,8,89.07024381798692,"[369, 369, 369, 369, 369, 369, 369, 369]",68,"[-3.4410002429297784, -1.399648837729948, -0.7475713750714814, -0.43622659280914367, -0.26159174642789407, -0.1524071765362921, -0.07598650877422261, -0.011778960339150126]"
0.12,2,2,witness,0.8166899363898523,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.6798132541663068,7.492940515158995,8,86.96762491483241,"[369, 369, 369, 369, 369, 369, 369, 369]",68,"[-3.4453819061482513, -1.4298748967085848, -0.8038225368532405, -0.5010854650003426, -0.32004353058331353, -0.19603423209281404, -0.10100399538366409, -0.015880698222478586]"
