N,n_x,n_b,n_trunc,p_obs,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.005,2,2,0,"[[0.4437685419908576, 0.5562314580091424], [0.5562314580091424, 0.4437685419908576]]",0.8229544400405295,optimal,0.2811155317337637,0.7208372207824141,91,2,34
0.02368421052631579,2,2,0,"[[0.37911973180745595, 0.620880268192544], [0.620880268192544, 0.37911973180745595]]",0.8764331640278685,optimal,0.1902840182802475,0.681365021970123,91,2,34
0.042368421052631576,2,2,0,"[[0.3402899926581956, 0.6597100073418044], [0.6597100073418044, 0.3402899926581956]]",0.9066822986791827,optimal,0.14133097568025696,0.632037878036499,91,2,34
0.061052631578947365,2,2,0,"[[0.3105907269258653, 0.6894092730741347], [0.6894092730741347, 0.3105907269258653]]",0.9278714973777007,optimal,0.10800307717766873,0.625276492908597,91,2,34
0.07973684210526316,2,2,0,"[[0.2861204628394568, 0.7138795371605432], [0.7138795371605432, 0.2861204628394568]]",0.9439062266857589,optimal,0.08328455417236177,0.6695919269695878,91,2,34
0.09842105263157895,2,2,0,"[[0.2651845769033508, 0.7348154230966493], [0.7348154230966493, 0.2651845769033508]]",0.9564813499425697,optimal,0.06419125659060451,0.6238128722179681,91,2,34
0.11710526315789474,2,2,0,"[[0.24685722816064665, 0.7531427718393533], [0.7531427718393533, 0.24685722816064665]]",0.9665258365981411,optimal,0.04911979666315405,0.636076495051384,91,2,34
0.13578947368421052,2,2,0,"[[0.23056346553582524, 0.7694365344641747], [0.7694365344641747, 0.23056346553582524]]",0.9746153014832162,optimal,0.03709522183316361,0.6732831900008023,91,2,34
0.15447368421052632,2,2,0,"[[0.21591534618854524, 0.7840846538114548], [0.7840846538114548, 0.21591534618854524]]",0.9811380867841948,optimal,0.027471897179789602,0.6306134988553822,91,2,34
0.17315789473684212,2,2,0,"[[0.20263536147403188, 0.7973646385259681], [0.7973646385259681, 0.20263536147403188]]",0.9863762676683435,optimal,0.019790006145269733,0.6809525219723582,91,2,34
0.1918421052631579,2,2,0,"[[0.19051619274217146, 0.8094838072578285], [0.8094838072578285, 0.19051619274217146]]",0.9905366661684398,optimal,0.013717715309890806,0.6280148699879646,91,2,34
0.21052631578947367,2,2,0,"[[0.1793976789434708, 0.8206023210565292], [0.8206023210565292, 0.1793976789434708]]",0.9937796857231503,optimal,0.009002043446119346,0.6285995219368488,91,2,34
0.22921052631578948,2,2,0,"[[0.16915275035081673, 0.8308472496491832], [0.8308472496491832, 0.16915275035081673]]",0.9962354035663259,optimal,0.005441413407082157,0.687512599863112,91,2,34
0.24789473684210528,2,2,0,"[[0.1596783859718806, 0.8403216140281193], [0.8403216140281193, 0.1596783859718806]]",0.9980060988348127,optimal,0.002879462960242567,0.6354398389812559,91,2,34
