N,n_x,n_trunc,mode,W_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints,num_words,node_values
0.01,4,0,witness,0.34093027266884424,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.9605091897843394,7.492940515158995,8,866.6825082839932,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.2910384426457666, -1.163674782503583, -0.5311332700675455, -0.27212445912560573, -0.14841177925830962, -0.08113962867676332, -0.038961153922524215, -0.005947809174557307]"
0.12,4,0,witness,0.5808013884864682,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.6297326905869982,7.492940515158995,8,855.3057772920001,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.301489748105166, -1.219298437906559, -0.6096124442150775, -0.34430750602692417, -0.20336310541340846, -0.11763472746818428, -0.058452526207887226, -0.009049329228790934]"
0.23,4,0,witness,0.702643839483077,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.3315771067779423,7.492940515158995,8,866.2700256479438,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.3137393593595514, -1.2726123452925056, -0.6779732031541928, -0.406438177188161, -0.25167531141660865, -0.1505841268845657, -0.07640846004197523, -0.01193242504349253]"
0.34,4,0,witness,0.7863710786793914,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",1.0681716157094878,7.492940515158995,8,864.3255462849047,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.328603598868256, -1.3239672576997656, -0.7368964358510601, -0.45835760370120776, -0.2921591695734167, -0.17854380568239528, -0.091818981025593, -0.014422047047813217]"
0.45,4,0,witness,0.8474717161083006,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.8384256486025298,7.492940515158995,8,855.1283558791038,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.346645854092744, -1.3722819331967966, -0.7867320036862306, -0.5009098600251676, -0.32526130779130175, -0.201573886024541, -0.10461332592528202, -0.016496695814402537]"
0.56,4,0,witness,0.8929942901538287,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.640173005410617,7.492940515158995,8,858.8993420528714,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.3681927165864263, -1.4163213740043896, -0.8280009966918211, -0.5351568006641082, -0.351808009062819, -0.22012780365086668, -0.1149770076219506, -0.018182801465996747]"
0.67,4,0,witness,0.927039672588524,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.47115176554283633,7.492940515158995,8,839.1875528958626,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.393180638404705, -1.4549895132994974, -0.8613413767447046, -0.5621694938401351, -0.37266456279859644, -0.23474941622156875, -0.1231751999140427, -0.01951854839290866]"
0.78,4,0,witness,0.9523088014600011,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.32939728821939585,7.492940515158995,8,827.2016961700283,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.42085267505827, -1.487524063191384, -0.8875087497974793, -0.5829631242601271, -0.3886633886386773, -0.2459868676530197, -0.12949607938431332, -0.0205482789563284]"
0.89,4,0,witness,0.9707157410754025,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.21362198393491685,7.492940515158995,8,830.9992270369548,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.449523293464984, -1.513566822734245, -0.9073204590792452, -0.598466290541522, -0.40055803900020953, -0.25435325213151666, -0.13420937082626222, -0.021321003446093747]"
1.0,4,0,witness,0.9836822546844982,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.12335745396131265,7.492940515158995,8,827.1408811009023,"[983, 983, 983, 983, 983, 983, 983, 983]",106,"[-3.4765679879163645, -1.5331441674579778, -0.921594918101159, -0.6095140154232029, -0.40901599503087155, -0.26030662080983835, -0.13757007632948354, -0.021869280128784866]"
