N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block,num_loc_words_per_block,num_moment_variables_per_block,q_values
0.01,2,0,0.599252964831241,0.5992429648013077,0.6062157411565955,optimal,0.7220967808817275,0.6299965059997703,20,2,34,6,182,"[0.999999707591681, 2.9240831900256836e-07]"
0.12,2,0,0.8166900214331375,0.816680021138002,0.8197563440518398,optimal,0.2867329332837101,0.5418737330001022,20,2,34,6,182,"[0.9999999194341777, 8.056582234683418e-08]"
0.23,2,0,0.9040419053352574,0.904031904807476,0.9061164104249096,optimal,0.14223168705053243,0.5887881590006145,20,2,34,6,182,"[0.9999999393695461, 6.063045387971755e-08]"
0.34,2,0,0.9529385158916316,0.9529285157697422,0.954338157300677,optimal,0.06742753786257565,0.5442837609998605,20,2,34,6,182,"[0.9999999955927551, 4.407244902360219e-09]"
0.45,2,0,0.9806853438857126,0.980675339362149,0.9815673896025056,optimal,0.026840775430403103,0.5754252360002283,20,2,34,6,182,"[0.9999998594690666, 1.4053093344568168e-07]"
0.56,2,0,0.9949032566900048,0.9948932438594938,0.9953468090013797,optimal,0.006728802950117101,0.5991310700001122,20,2,34,6,182,"[0.9999998072072145, 1.9279278551387335e-07]"
0.67,2,0,0.9998628819379094,0.9998528642901224,0.9999267374004189,optimal,0.00010569946105416829,0.5886497299998155,20,2,34,6,182,"[0.9999998851704078, 1.1482959216824185e-07]"
0.78,2,0,0.9999999734745738,0.9999902413399178,0.9999999826567717,optimal,2.5020989675414254e-08,0.6321473629996035,20,2,34,6,182,"[0.9999862661329971, 1.3733867002874156e-05]"
0.89,2,0,0.9999999393612924,0.9999902090516234,0.9999999925615005,optimal,1.0731486355745336e-08,0.5402329440003086,20,2,34,6,182,"[0.9999863046751905, 1.3695324809548381e-05]"
1.0,2,0,0.9999999602237484,0.9999902246072658,0.9999999930362207,optimal,1.0046609941601661e-08,0.5337851539998155,20,2,34,6,182,"[0.9999863221019034, 1.3677898096586816e-05]"
0.01,2,1,0.5992529835074123,0.5992429834192587,0.6062094867793671,optimal,0.7221116653608746,1.4383741740002733,26,2,51,7,447,"[0.9999991362785592, 8.637214408135918e-07]"
0.12,2,1,0.8166900092543568,0.8166800084513118,0.8197584076271531,optimal,0.28672930158735854,1.3245825399999376,26,2,51,7,447,"[0.9999998030600397, 1.9693996033964822e-07]"
0.23,2,1,0.90404200195389,0.9040319997893247,0.9061068095675904,optimal,0.14224697336746087,1.1910630889997265,26,2,51,7,447,"[0.9999997502379805, 2.497620195107686e-07]"
0.34,2,1,0.952938533771802,0.9529285314550857,0.9543371160152642,optimal,0.0674291119986502,1.4480739010004982,26,2,51,7,447,"[0.9999998566721301, 1.4332786990589597e-07]"
0.45,2,1,0.9806854226771282,0.9806754169974016,0.9815641245419553,optimal,0.026845574382108713,1.1770098310007597,26,2,51,7,447,"[0.9999998003229404, 1.996770595535935e-07]"
0.56,2,1,0.994903266191934,0.9948932639618386,0.9953465448710654,optimal,0.006729185791094421,1.3717338340002243,26,2,51,7,447,"[0.9999999555873875, 4.441261247656314e-08]"
0.67,2,1,0.9998628715941642,0.9998528698813784,0.9999269837210504,optimal,0.00010534406950757212,1.1610792579995177,26,2,51,7,447,"[0.9999999894192698, 1.0580730180898001e-08]"
0.78,2,1,0.999999965349744,0.9999901695911076,0.9999999969463012,optimal,4.405556193041189e-09,1.3770972050006094,26,2,51,7,447,"[0.9999859762635358, 1.4023736464197079e-05]"
0.89,2,1,0.999999972216735,0.9999901468683782,0.9999999791155543,optimal,3.012988659861657e-08,1.1627542070000345,26,2,51,7,447,"[0.9999865237475762, 1.3476252423760826e-05]"
1.0,2,1,0.9999999830007577,0.9999901664949561,0.999999967974052,optimal,4.6203677105957496e-08,1.5259101000001465,26,2,51,7,447,"[0.9999863362884998, 1.3663711500244702e-05]"
0.01,2,2,0.5992530088502767,0.5992429914650015,0.6062569139858532,optimal,0.7219987995600697,3.165953142000035,32,2,68,8,850,"[0.9998391670161867, 0.00016083298381330824]"
0.12,2,2,0.8166900028317592,0.8166800027497139,0.819759137480862,optimal,0.2867280171164121,2.57762462699975,32,2,68,8,850,"[0.9999999747840376, 2.5215962429214756e-08]"
0.23,2,2,0.9040420208770202,0.9040320185275177,0.9061049636949187,optimal,0.14224991235217432,2.563396998999451,32,2,68,8,850,"[0.9999996805580927, 3.1944190725941013e-07]"
0.34,2,2,0.952938536526234,0.9529285308724368,0.9543372505975598,optimal,0.06742890854727693,2.795103167999514,32,2,68,8,850,"[0.9999995769382594, 4.230617406397741e-07]"
0.45,2,2,0.9806854060450052,0.9806753955968397,0.9815651310531401,optimal,0.026844095020838094,2.578842808000445,32,2,68,8,850,"[0.9999995790314328, 4.2096856722739773e-07]"
0.56,2,2,0.9949032197002196,0.9948932148591727,0.9953476070391521,optimal,0.006727646243063085,2.7529225239995867,32,2,68,8,850,"[0.9999998941657842, 1.0583421583554298e-07]"
0.67,2,2,0.9998628747486762,0.9998528579292576,0.9999267377704413,optimal,0.00010569892718565207,2.530691337999997,32,2,68,8,850,"[0.9999998429620733, 1.5703792666243999e-07]"
0.78,2,2,0.999999966929247,0.9999901272020849,0.9999999874515308,optimal,1.8103614330880325e-08,2.7074521009999444,32,2,68,8,850,"[0.9999861334037627, 1.386659623725528e-05]"
0.89,2,2,0.999999980518346,0.9999901298590752,0.9999999960009472,optimal,5.769413590307937e-09,2.784109234000425,32,2,68,8,850,"[0.9999862013675163, 1.3798632483741358e-05]"
