N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.01,3,0,0.43022667915014284,0.43021667045130074,0.4399075759456066,optimal,1.1847276477992674,5.842386865988374,221,3,65
0.12,3,0,0.6696047028347065,0.6695947027199759,0.6747333318315936,optimal,0.5676106621443572,5.354244135785848,221,3,65
0.23,3,0,0.7827566002718899,0.7827465969588308,0.7867256403425663,optimal,0.3460674913364027,5.223355028079823,221,3,65
0.34,3,0,0.8564444480308385,0.8564343931494945,0.8596366851718718,optimal,0.2182010435011286,4.993199958931655,221,3,65
0.45,3,0,0.9073184578307426,0.9073083506238372,0.9098869791016605,optimal,0.13624074168150888,5.123772524064407,221,3,65
0.56,3,0,0.9428629441014649,0.9428529323370105,0.9448716674425798,optimal,0.08180969922221683,5.0154838368762285,221,3,65
0.67,3,0,0.9673723850452728,0.9673623815096406,0.9688974566187695,optimal,0.045584108974418856,4.959541242104024,221,3,65
0.78,3,0,0.9836352288486064,0.9836250310802092,0.9847223038620998,optimal,0.022211159481360314,4.929226896958426,221,3,65
0.89,3,0,0.993598999810457,0.9935888868124098,0.9942777982696275,optimal,0.008279102060942251,5.032499678898603,221,3,65
1.0,3,0,0.9986892988016227,0.9986792965741459,0.9989911883322615,optimal,0.0014561422004134954,5.018544838996604,221,3,65
0.01,3,1,0.4210898391810985,0.4210797881348666,0.43365770516740293,optimal,1.2053713515266264,11.726083842106164,278,3,96
0.12,3,1,0.6223843720786569,0.622374367267521,0.6315969984569123,optimal,0.6629237798032357,12.207193739945069,278,3,96
0.23,3,1,0.732309696559068,0.7322996835905576,0.7383349032324278,optimal,0.43765273437892527,12.448327481979504,278,3,96
0.34,3,1,0.8102057939680763,0.810195779003496,0.8149950093219962,optimal,0.29513686995892524,12.334070493932813,278,3,96
0.45,3,1,0.8674784894811305,0.8674684700407785,0.8715199039146978,optimal,0.19839448165387283,12.189894238021225,278,3,96
0.56,3,1,0.9112038748052842,0.9111938602709245,0.9142756043765151,optimal,0.1292989699411463,11.898900215979666,278,3,96
0.67,3,1,0.9442114867185732,0.94420147573008,0.9465485798147867,optimal,0.07925154346515706,11.585052430164069,278,3,96
0.78,3,1,0.9681333316649835,0.9681233204317077,0.9698645276571412,optimal,0.04414485163569037,11.641044755000621,278,3,96
0.89,3,1,0.9844624099844533,0.984452282698182,0.9856254688982002,optimal,0.020888558641084697,11.028226838214323,278,3,96
1.0,3,1,0.9942972044057935,0.9942872012056105,0.9949818212308975,optimal,0.007257927682951696,10.984691536054015,278,3,96
0.01,3,2,0.4210890065069246,0.4210789875343154,0.4325441571061553,optimal,1.2090806743085818,23.216073957039043,341,3,127
0.12,3,2,0.6199076430295297,0.6198975519993758,0.6302963040845233,optimal,0.6658978917690229,22.76885557710193,341,3,127
0.23,3,2,0.7288815912251799,0.7288715855658747,0.735972660931056,optimal,0.4422759191916924,24.12100321496837,341,3,127
0.34,3,2,0.8084906888200756,0.8084806822497798,0.8133762739220161,optimal,0.2980051866964598,23.728806960163638,341,3,127
0.45,3,2,0.8671899799732353,0.8671799692045488,0.8711737715015064,optimal,0.19896757551381286,23.811950301984325,341,3,127
0.56,3,2,0.9111891774076896,0.9111791585856499,0.9144039024275451,optimal,0.12909653429116863,23.184675973840058,341,3,127
0.67,3,2,0.9442101757921063,0.9442001604911016,0.9465117155445202,optimal,0.07930773174403712,22.93909125495702,341,3,127
0.78,3,2,0.9681328782217834,0.9681228645979582,0.9698590424005704,optimal,0.044153011099827194,21.989862411050126,341,3,127
0.89,3,2,0.9844622226140315,0.9844521572747104,0.9856334349713177,optimal,0.02087689846376405,21.61259138584137,341,3,127
1.0,3,2,0.9942974511511095,0.9942874180774748,0.9949738424679279,optimal,0.007269496706301101,21.188054152065888,341,3,127
