N,n_x,n_trunc,W_obs,statuses,failed_node,H_shannon_bits,runtime_sec,c_m,m_eff,num_constraints,num_words,num_base_words,num_moment_variables,node_values
0.56,2,1,0.994903266191934,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.038428351076298314,147.63840307301143,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.507332185340038, -1.5504842642383687, -0.9337377010350686, -0.6188091423958678, -0.4161144796787585, -0.26530616480677044, -0.1403950181050951, -0.022333208482730387]"
0.67,2,1,0.9998628715941642,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0006517599654842048,139.50504728898522,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.521116492319452, -1.5581635071329396, -0.9391089613366127, -0.622923898267955, -0.4192614143660622, -0.267525482756309, -0.14165031375837295, -0.02253868525580784]"
0.78,2,1,0.999999965349744,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,1.0191118841179625e-07,128.3915855360101,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.5213786686651556, -1.558290801881297, -0.9391957891706668, -0.6229898719277089, -0.4193118827093204, -0.26756098450395943, -0.14167039217446323, -0.022542022215235706]"
0.89,2,1,0.999999972216735,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,133.0922965130012,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.521378721185076, -1.558290729508273, -0.9391958265750908, -0.6229899576845449, -0.4193118831177768, -0.26756103533904146, -0.14167040166835962, -0.022542087647324887]"
1.0,2,1,0.9999999830007577,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,130.75712448600098,7.492940515158995,8,"[37, 37, 37, 37, 37, 37, 37, 37]",153,51,2682,"[-3.521378721817612, -1.5582907443438223, -0.9391958093678806, -0.6229899022794594, -0.41931186969412215, -0.2675610245506026, -0.14167040964940983, -0.022542090815293615]"
0.01,2,2,0.5992530088502767,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.9667148914411632,394.2252142340003,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.441010852987088, -1.3996484575922792, -0.7475735554177791, -0.4362282748887967, -0.26159315522349147, -0.15240621985317815, -0.075985390250204, -0.011779717505016196]"
0.12,2,2,0.8166900028317592,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.6798334895455399,395.10736237099627,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.4453819332489015, -1.4298732233779046, -0.803819319692731, -0.5010784597806217, -0.3200385141259526, -0.19603184877401125, -0.10100290788279524, -0.015880818730537906]"
0.23,2,2,0.9040420208770202,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.4483126445024536,370.9120969439973,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.45261199956887, -1.4644400499625878, -0.8528275432660155, -0.5500475774498237, -0.3614735143220103, -0.22627225172087237, -0.11824861534200701, -0.01870631902435579]"
0.34,2,2,0.952938536526234,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.26616691510377444,383.47133471502457,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.4647147123272855, -1.49979246411383, -0.8915512208942895, -0.5846347995941158, -0.38945325447734697, -0.24637796833085715, -0.12967200266969886, -0.02057717764779639]"
0.45,2,2,0.9806854060450052,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.12961368515467103,409.75540287900367,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.4838058555326907, -1.5302679741373224, -0.9184305804656901, -0.6067991570737234, -0.4068531340411559, -0.2587561629729605, -0.13668778284307828, -0.02172618293770376]"
0.56,2,2,0.9949032197002196,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.03842069996308431,354.55656448198715,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.5073344415839465, -1.550485950147335, -0.9337387713525422, -0.6188100437264458, -0.4161154315054507, -0.2653066159560114, -0.14039527296853563, -0.022333287955643707]"
0.67,2,2,0.9998628747486762,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.000652827782632738,347.3188679369923,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.5211163833638497, -1.558163454536101, -0.9391088106851696, -0.6229236702692499, -0.4192611334438396, -0.26752535260868787, -0.14165011759274507, -0.02253876487671968]"
0.78,2,2,0.999999966929247,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,378.52726906500175,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.521378722927524, -1.558290808485629, -0.9391957939807067, -0.622989937480981, -0.4193118571692373, -0.26756102972788054, -0.14167038009081936, -0.02254202391626017]"
0.89,2,2,0.999999980518346,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,355.6464189469989,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.521378688657395, -1.5582907827584676, -0.9391958096176499, -0.6229899506152957, -0.41931188564836214, -0.2675609260304336, -0.1416703990186002, -0.02254207457306453]"
1.0,2,2,0.9999999787676456,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,0.0,342.4999858250085,7.492940515158995,8,"[46, 46, 46, 46, 46, 46, 46, 46]",204,68,5100,"[-3.521378696348518, -1.5582908073953625, -0.9391957971551714, -0.6229899618028565, -0.4193118647156297, -0.26756102752346816, -0.1416703651826641, -0.022542095848660366]"
