N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block,num_loc_words_per_block,num_moment_variables_per_block,q_values
0.01,2,2,0.5992530088502767,0.5992429852642114,0.6063021468266708,optimal,0.7218911640686994,1.5567076030001772,32,2,44,8,292,"[0.9997222854240013, 0.00027771457599867766]"
0.12,2,2,0.8166900028317592,0.8166800027612221,0.8197591347058573,optimal,0.2867280220001462,1.3632105530004992,32,2,44,8,292,"[0.9999999717669747, 2.8233025251012123e-08]"
0.23,2,2,0.9040420208770202,0.9040320207223899,0.9061045594762598,optimal,0.14225055594691008,0.9084496259993102,32,2,44,8,292,"[0.9999999741304907, 2.5869509312492767e-08]"
0.34,2,2,0.952938536526234,0.9529285364974902,0.9543367199376431,optimal,0.06742971075911824,1.4142284420004216,32,2,44,8,292,"[0.9999999975996217, 2.4003783405390777e-09]"
0.45,2,2,0.9806854060450052,0.9806754060101338,0.9815646446787643,optimal,0.02684480988942068,1.2985362469999018,32,2,44,8,292,"[0.9999999981267184, 1.8732816409183783e-09]"
0.56,2,2,0.9949032197002196,0.9948932122172779,0.9953476387872402,optimal,0.006727600226165943,1.3358635279992086,32,2,44,8,292,"[0.9999998135119753, 1.8648802468934633e-07]"
0.67,2,2,0.9998628747486762,0.999852873697947,0.9999269833891303,optimal,0.00010534454840194506,1.2041936490004446,32,2,44,8,292,"[0.9999999908341833, 9.165816661216297e-09]"
0.78,2,2,0.999999966929247,0.9999901534779666,0.9999999924128148,optimal,1.0945994523248008e-08,1.2316614540004593,32,2,44,8,292,"[0.9999832222688689, 1.6777731131067952e-05]"
0.89,2,2,0.999999980518346,0.999990163590375,0.9999999968021185,optimal,4.613567810632758e-09,1.4384398590000274,32,2,44,8,292,"[0.9999832740578269, 1.6725942173057007e-05]"
1.0,2,2,0.9999999787676456,0.9999901619133498,0.9999999987016944,optimal,1.8730590146150272e-09,1.2312728039996728,32,2,44,8,292,"[0.9999832728349808, 1.6727165019214674e-05]"
