N,n_x,n_trunc,W_obs,W_total,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block,num_loc_words_per_block,num_moment_variables_per_block,q_values
0.01,2,0,0.599252964831241,0.5992429648306132,0.606215649128912,optimal,0.7220969998926895,0.4346663569995144,20,2,26,6,108,"[0.9999999926258825, 7.374117538816449e-09]"
0.12,2,0,0.8166900214331375,0.8166800212550869,0.8197563036296285,optimal,0.2867330044230501,0.33740749699973094,20,2,26,6,108,"[0.9999999557881137, 4.421188626313466e-08]"
0.23,2,0,0.9040419053352574,0.9040319053335181,0.9061163526244657,optimal,0.14223177907890275,0.42115076899972337,20,2,26,6,108,"[0.9999999995503134, 4.4968662127331527e-10]"
0.34,2,0,0.9529385158916316,0.9529285156570785,0.9543381567770766,optimal,0.06742753865411444,0.3901475220000066,20,2,26,6,108,"[0.9999999873825918, 1.2617408229331772e-08]"
0.45,2,0,0.9806853438857126,0.9806753432721564,0.981567309289787,optimal,0.026840893473001903,0.41741089900006045,20,2,26,6,108,"[0.9999999723814533, 2.761854667188146e-08]"
0.56,2,0,0.9949032566900048,0.9948932561534248,0.9953467504214892,optimal,0.006728887858130302,0.3698244299994258,20,2,26,6,108,"[0.9999999901187433, 9.881256701760321e-09]"
0.67,2,0,0.9998628819379094,0.9998528796553908,0.999926953333778,optimal,0.00010538791227662128,0.3629471710000871,20,2,26,6,108,"[0.9999999857653293, 1.423467066441475e-08]"
0.78,2,0,0.9999999734745738,0.9999903092260889,0.9999999888269432,optimal,1.6119313745859703e-08,0.39132530499955465,20,2,26,6,108,"[0.9999847492344556, 1.5250765544427836e-05]"
0.89,2,0,0.9999999393612924,0.9999902663005248,0.9999999906612903,optimal,1.3472910227379682e-08,0.41531153899995843,20,2,26,6,108,"[0.9999847327799122, 1.526722008782233e-05]"
1.0,2,0,0.9999999602237484,0.999990287093783,0.9999999895224456,optimal,1.5115915823371757e-08,0.3829129619998639,20,2,26,6,108,"[0.9999847449427731, 1.5255057226881696e-05]"
0.01,2,1,0.5992529835074123,0.5992429834807756,0.6062093023018613,optimal,0.7221121043919836,0.6657249659992885,26,2,35,7,187,"[0.999999687363342, 3.126366580064044e-07]"
0.12,2,1,0.8166900092543568,0.8166800091671187,0.8197581547476547,optimal,0.28672974663074113,0.7159817259998817,26,2,35,7,187,"[0.9999999737376354, 2.6262364616336242e-08]"
0.23,2,1,0.90404200195389,0.9040320018994781,0.9061064867209316,optimal,0.14224748740107324,0.5897034230001736,26,2,35,7,187,"[0.9999999934926647, 6.5073353372469e-09]"
0.34,2,1,0.952938533771802,0.9529285336375478,0.9543369125197873,optimal,0.06742941962783255,0.7581547950003369,26,2,35,7,187,"[0.9999999887207797, 1.1279220335502771e-08]"
0.45,2,1,0.9806854226771282,0.9806754217063699,0.9815639638178011,optimal,0.026845810613194805,0.6604550829997606,26,2,35,7,187,"[0.999999957608881, 4.239111894843717e-08]"
0.56,2,1,0.994903266191934,0.9948932654401283,0.9953465157640761,optimal,0.006729227979928105,0.6309077279993289,26,2,35,7,187,"[0.99999997459452, 2.5405480053031226e-08]"
0.67,2,1,0.9998628715941642,0.9998528712225015,0.9999269991192348,optimal,0.0001053218530013123,0.6529603130002215,26,2,35,7,187,"[0.9999999972975882, 2.7024118498530925e-09]"
0.78,2,1,0.999999965349744,0.9999902088496746,0.9999999954536412,optimal,6.559009374617841e-09,0.6212874299999385,26,2,35,7,187,"[0.9999839643834757, 1.603561652430141e-05]"
0.89,2,1,0.999999972216735,0.9999901990756297,0.9999999983764292,optimal,2.342317591680344e-09,0.786811003999901,26,2,35,7,187,"[0.9999838133337942, 1.618666620584186e-05]"
1.0,2,1,0.9999999830007577,0.9999901872302269,0.999999980393747,optimal,2.8285844185155717e-08,0.8159509240003899,26,2,35,7,187,"[0.999983798203697, 1.620179630301699e-05]"
