N,n_x,n_b,n_trunc,p_obs,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.005,2,2,0,"[[0.4437685419908576, 0.5562314580091424], [0.5562314580091424, 0.4437685419908576]]",0.8229564615094337,optimal,0.2811119879657984,0.9967313930392265,91,2,38
0.02368421052631579,2,2,0,"[[0.37911973180745595, 0.620880268192544], [0.620880268192544, 0.37911973180745595]]",0.876433361511876,optimal,0.19028369320221775,0.9112952759023756,91,2,38
0.042368421052631576,2,2,0,"[[0.3402899926581956, 0.6597100073418044], [0.6597100073418044, 0.3402899926581956]]",0.9066823389369609,optimal,0.14133091162287348,0.8407283090054989,91,2,38
0.061052631578947365,2,2,0,"[[0.3105907269258653, 0.6894092730741347], [0.6894092730741347, 0.3105907269258653]]",0.9278719540275231,optimal,0.10800236715879873,0.9134979930240661,91,2,38
0.07973684210526316,2,2,0,"[[0.2861204628394568, 0.7138795371605432], [0.7138795371605432, 0.2861204628394568]]",0.9439060341996789,optimal,0.08328484837398209,0.8526580908801407,91,2,38
0.09842105263157895,2,2,0,"[[0.2651845769033508, 0.7348154230966493], [0.7348154230966493, 0.2651845769033508]]",0.9564816115288678,optimal,0.06419086203068611,0.8206763190682977,91,2,38
0.11710526315789474,2,2,0,"[[0.24685722816064665, 0.7531427718393533], [0.7531427718393533, 0.24685722816064665]]",0.966525703467381,optimal,0.04911999538220875,0.8467185730114579,91,2,38
0.13578947368421052,2,2,0,"[[0.23056346553582524, 0.7694365344641747], [0.7694365344641747, 0.23056346553582524]]",0.9746152830581969,optimal,0.037095249107190774,0.7883055289275944,91,2,38
0.15447368421052632,2,2,0,"[[0.21591534618854524, 0.7840846538114548], [0.7840846538114548, 0.21591534618854524]]",0.9811388913857079,optimal,0.027470714069937393,0.862910876981914,91,2,38
0.17315789473684212,2,2,0,"[[0.20263536147403188, 0.7973646385259681], [0.7973646385259681, 0.20263536147403188]]",0.9863753108773777,optimal,0.019791405568893593,0.7972425508778542,91,2,38
0.1918421052631579,2,2,0,"[[0.19051619274217146, 0.8094838072578285], [0.8094838072578285, 0.19051619274217146]]",0.990535426538881,optimal,0.013719520804424372,0.8456415061373264,91,2,38
0.21052631578947367,2,2,0,"[[0.1793976789434708, 0.8206023210565292], [0.8206023210565292, 0.1793976789434708]]",0.9937811955197815,optimal,0.008999851637925611,0.8414811480324715,91,2,38
