N,n_x,n_trunc,W_obs,H_shannon_bits,statuses,failed_node,runtime_sec,c_m,m_eff,num_constraints,num_words,num_base_words,num_moment_variables,node_values
0.01,4,0,0.3409306716088051,1.9606286341458274,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,845.8328369189985,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.291035805691681, -1.1636588973929196, -0.5311031850020065, -0.2720951075290599, -0.14839033916667638, -0.08112629275062631, -0.03895494523964843, -0.00594730824054898]"
0.12,4,0,0.5808013582050486,1.6296605182829744,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,835.4260606840253,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.301514886524305, -1.219310639840341, -0.6096212636375185, -0.3443147109481552, -0.20336986268881038, -0.11763969937946346, -0.05845729679955702, -0.009051637057869868]"
0.23,4,0,0.7026438459221891,1.3315518902959953,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,787.1521241269656,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.313748688708932, -1.2726153586023974, -0.6779747168079896, -0.40643973151462987, -0.2516781642796908, -0.15058640195099895, -0.07641040357112414, -0.01193515942723685]"
0.34,4,0,0.7863711246154178,1.06817077252035,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,831.5337772429921,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.3286139173821327, -1.3239660838849796, -0.7368894778420311, -0.4583551166971822, -0.2921574730941906, -0.17854305000796225, -0.09182040138719176, -0.014424222342975477]"
0.45,4,0,0.8474717261421147,0.8384034832160373,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,800.9209163169726,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.346654204436917, -1.3722842021262565, -0.7867335251387018, -0.5009102827067093, -0.32526471785882793, -0.2015761909106178, -0.10461507202738313, -0.016498836737544362]"
0.56,4,0,0.8929942869574147,0.6401442275389172,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,795.7580895950086,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.3682019094404163, -1.416324581725221, -0.8280048053046783, -0.5351609746283902, -0.35181088422283024, -0.2201305950231406, -0.11497850904712517, -0.01818402822827594]"
0.67,4,0,0.9270396725893598,0.4711308669920072,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,784.1462732309592,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.3931849607120053, -1.4549925454514745, -0.8613444019881333, -0.5621726790057356, -0.37266685172634084, -0.23475107730755437, -0.12317712402645457, -0.019520007949289306]"
0.78,4,0,0.9523088175206712,0.3293849807992952,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,774.6868529850035,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.4208538788090466, -1.4875267683575402, -0.8875106047969212, -0.5829638387246875, -0.38866454655035026, -0.24598802154706279, -0.12949656070265647, -0.020551314871435845]"
0.89,4,0,0.970715780774098,0.21362092895935952,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,771.4413681349833,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.4495245957168494, -1.513565365316901, -0.9073185716085646, -0.598465894436196, -0.4005586325251056, -0.25435368773706296, -0.13421107885709144, -0.021321760001864868]"
1.0,4,0,0.9836822553085512,0.123336569167486,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,760.9452029429958,7.492940515158995,8,"[92, 92, 92, 92, 92, 92, 92, 92]",106,106,1871,"[-3.4765720213918843, -1.5331496943711052, -0.9215974030389013, -0.6095151973020747, -0.4090176599865827, -0.260308658126048, -0.1375719364588396, -0.021871375316073197]"
0.01,4,1,0.3281710162831508,1.9672539396328999,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,4589.3201044519665,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.291077457243785, -1.162463578033561, -0.5294129365104858, -0.27059381205278793, -0.1472707211769156, -0.0804059513093784, -0.03857528150701002, -0.005886837692170993]"
0.12,4,1,0.5049736357560002,1.7609146699402003,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,8303.510855350993,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.29706763319546, -1.1971064647821774, -0.5789950804654921, -0.3159922288144437, -0.18152041926323426, -0.10300037772555677, -0.0505646662650277, -0.0077789747074032255]"
0.23,4,1,0.6099364256351094,1.5557661480873761,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,8589.121552317985,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.3053062248917415, -1.2319271491297485, -0.6265524583339023, -0.35980521984697805, -0.21524144322673816, -0.1257748738170242, -0.06284149972629136, -0.009725498099195505]"
0.34,4,1,0.6914174556674901,1.3555008828172768,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,8050.341109206027,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.312992158759214, -1.2680857860883346, -0.672440410131227, -0.4014982470943675, -0.24785003516685808, -0.1479467683692827, -0.07495479103713364, -0.011671435695301]"
0.45,4,1,0.7565655564038933,1.1605166933121742,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,8890.277454811032,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.3233455006065538, -1.3053443597358363, -0.7163075156079693, -0.44042514338941746, -0.2781838284708706, -0.1688396148310386, -0.08644924353714427, -0.013528615667991286]"
0.56,4,1,0.8105070860099063,0.9742565175053843,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,9512.726118874038,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.3355447680726438, -1.3432884899963107, -0.7573324145154166, -0.476092840024247, -0.3059372145923315, -0.1881261463691116, -0.09710876485927933, -0.015253359224270388]"
0.67,4,1,0.8548314929974408,0.8008481057291177,"['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",,9093.881671300973,7.492940515158995,8,"[109, 109, 109, 109, 109, 109, 109, 109]",155,155,4584,"[-3.3503019178624815, -1.3804543444125825, -0.7946899264479932, -0.5076037126348918, -0.33044390366611803, -0.20518569166760964, -0.10660145913569974, -0.01681145360250202]"
