N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words,num_loc_words,num_moment_variables
0.01,4,0,optimal,0.34093067160880514,4.070487216999936,14,106,10,1871
0.12,4,0,optimal,0.5808013582050486,3.7736329169999863,14,106,10,1871
0.23,4,0,optimal,0.7026438459221891,3.667070967000086,14,106,10,1871
0.34,4,0,optimal,0.7863711246154178,3.5695533929999783,14,106,10,1871
0.45,4,0,optimal,0.8474717261421147,3.5466312009999683,14,106,10,1871
0.56,4,0,optimal,0.8929942869574147,3.5733299359999364,14,106,10,1871
0.67,4,0,optimal,0.9270396725893598,3.5269393979999677,14,106,10,1871
0.78,4,0,optimal,0.9523088175206711,3.5999127410000256,14,106,10,1871
0.89,4,0,optimal,0.970715780774098,3.4756657189999487,14,106,10,1871
1.0,4,0,optimal,0.9836822553085511,3.895816828000079,14,106,10,1871
0.01,4,1,optimal,0.3281710162831508,16.726802349999957,22,155,11,4584
0.12,4,1,optimal,0.5049736357560002,19.690267892000065,22,155,11,4584
0.23,4,1,optimal,0.6099364256351094,31.43859927999995,22,155,11,4584
0.34,4,1,optimal,0.6914174556674901,21.874215541000012,22,155,11,4584
0.45,4,1,optimal,0.7565655564038933,25.731789531000004,22,155,11,4584
0.56,4,1,optimal,0.8105070860099063,31.090460825000036,22,155,11,4584
0.67,4,1,optimal,0.8548314929974408,22.42936318799991,22,155,11,4584
0.78,4,1,optimal,0.8908070110546333,24.44155388599995,22,155,11,4584
0.89,4,1,optimal,0.9196920204378936,21.45346366399997,22,155,11,4584
1.0,4,1,optimal,0.9426391694864331,23.793905859999995,22,155,11,4584
0.01,4,2,optimal,0.32809911628385124,113.96180736100007,30,204,12,8669
0.12,4,2,optimal,0.5008558239945122,113.11574602199994,30,204,12,8669
0.23,4,2,optimal,0.5970679695927575,254.65241899700004,30,204,12,8669
0.34,4,2,optimal,0.6715984844165308,85.93031653000003,30,204,12,8669
0.45,4,2,optimal,0.7329932299932819,88.46385934,30,204,12,8669
0.56,4,2,optimal,0.7873440180556824,132.33042395400003,30,204,12,8669
0.67,4,2,optimal,0.8334194819714158,80.62650024300001,30,204,12,8669
0.78,4,2,optimal,0.8727951003413574,83.69269409000003,30,204,12,8669
0.89,4,2,optimal,0.9056763981748588,84.19471993100001,30,204,12,8669
1.0,4,2,optimal,0.9317570106807022,120.48867003299983,30,204,12,8669
