N,n_x,n_b,n_trunc,p_obs,statuses,H_shannon_bits,c_m,m_eff,runtime_sec,num_constraints_per_node,num_words,node_values
0.005,2,2,0,"[[0.4437685419908576, 0.5562314580091424], [0.5562314580091424, 0.4437685419908576]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.5653130818607595,7.492940515158995,8,28.454944686964154,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.4757730513870477, -1.4645829343378312, -0.8224782761634659, -0.5134025745906273, -0.328724507613291, -0.20193720483121125, -0.1043100046752764, -0.01641887969948505]"
0.02368421052631579,2,2,0,"[[0.37911973180745595, 0.620880268192544], [0.620880268192544, 0.37911973180745595]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.4737748853225854,7.492940515158995,8,27.805952839087695,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.472852747715266, -1.4666574046507, -0.8433816273046619, -0.5374780168999431, -0.34994792926575574, -0.21765080425815542, -0.1133033503283572, -0.017893749413570283]"
0.042368421052631576,2,2,0,"[[0.3402899926581956, 0.6597100073418044], [0.6597100073418044, 0.3402899926581956]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.39917409686871075,7.492940515158995,8,27.750822661910206,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.474039818044032, -1.4764747814388774, -0.8594288913584975, -0.5539068978029487, -0.36397762603483685, -0.22791976012377915, -0.11916517150701032, -0.01885347198030249]"
0.061052631578947365,2,2,0,"[[0.3105907269258653, 0.6894092730741347], [0.6894092730741347, 0.3105907269258653]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.3355549915804717,7.492940515158995,8,28.137913559097797,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.4768245747126993, -1.486464959227988, -0.8729833317550049, -0.567028899434528, -0.37492554742045986, -0.23586896055384363, -0.1236911465886841, -0.019598103885315972]"
0.07973684210526316,2,2,0,"[[0.2861204628394568, 0.7138795371605432], [0.7138795371605432, 0.2861204628394568]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.28035002176083884,7.492940515158995,8,28.098304255865514,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.4800061839592877, -1.496243344681715, -0.8847519009009692, -0.5779022859329677, -0.38383838663762293, -0.2423024954064844, -0.1273507932290763, -0.020195102650032926]"
0.09842105263157895,2,2,0,"[[0.2651845769033508, 0.7348154230966493], [0.7348154230966493, 0.2651845769033508]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.23190476096560814,7.492940515158995,8,28.092341512907296,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.483453021414407, -1.505665777869628, -0.8950289539260337, -0.5870391891559558, -0.3912074440583103, -0.24759588305333122, -0.13035701889399565, -0.020688465821725843]"
0.11710526315789474,2,2,0,"[[0.24685722816064665, 0.7531427718393533], [0.7531427718393533, 0.24685722816064665]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.18928445015378328,7.492940515158995,8,28.293192986864597,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.4870864859983883, -1.5146196549989903, -0.9039678306102203, -0.5947271530161815, -0.3973362162849614, -0.2519790888018332, -0.13284276185907246, -0.02109687343556501]"
0.13578947368421052,2,2,0,"[[0.23056346553582524, 0.7694365344641747], [0.7694365344641747, 0.23056346553582524]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.15189745926949855,7.492940515158995,8,28.31644455413334,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.4908434744046724, -1.5229606856915223, -0.9116795432401289, -0.6011816066259075, -0.4024332738073345, -0.2556080629029963, -0.13490359634488536, -0.021432812872049945]"
0.15447368421052632,2,2,0,"[[0.21591534618854524, 0.7840846538114548], [0.7840846538114548, 0.21591534618854524]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.11928901386372467,7.492940515158995,8,28.408252981025726,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.494707695822884, -1.5305739753907466, -0.9182569508320756, -0.6065621642444411, -0.40664186239101013, -0.25859920527005525, -0.13659891632733737, -0.021710731016720226]"
0.17315789473684212,2,2,0,"[[0.20263536147403188, 0.7973646385259681], [0.7973646385259681, 0.20263536147403188]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.09113294036719963,7.492940515158995,8,28.702278897864744,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.498642077700036, -1.5373476740562793, -0.9237772721349449, -0.6109933050329583, -0.41008661430344523, -0.26104304871863354, -0.13798009935473632, -0.02193748349076228]"
0.1918421052631579,2,2,0,"[[0.19051619274217146, 0.8094838072578285], [0.8094838072578285, 0.19051619274217146]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.06711218057705501,7.492940515158995,8,28.433938398957253,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.5026492462856873, -1.5431969661712164, -0.9283183675458806, -0.6145842061572984, -0.4128621021215065, -0.26300567516828444, -0.13909353638607852, -0.022118234745988306]"
0.21052631578947367,2,2,0,"[[0.1793976789434708, 0.8206023210565292], [0.8206023210565292, 0.1793976789434708]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.046941991241015224,7.492940515158995,8,29.279696583980694,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.506700121832858, -1.5480744776745319, -0.9319595508871068, -0.6174244118141937, -0.415051992908854, -0.2645556568357257, -0.13996867341576455, -0.022263638548945835]"
0.22921052631578948,2,2,0,"[[0.16915275035081673, 0.8308472496491832], [0.8308472496491832, 0.16915275035081673]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.03034805797135447,7.492940515158995,8,28.43644802016206,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.510775222489646, -1.5519676226077217, -0.9347777919037774, -0.6196045002030711, -0.41672157506493845, -0.26573538223869503, -0.14063839691702423, -0.022371965762766965]"
0.24789473684210528,2,2,0,"[[0.1596783859718806, 0.8403216140281193], [0.8403216140281193, 0.1596783859718806]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.017069726694459678,7.492940515158995,8,28.380980940070003,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.5148628505878152, -1.554881864174379, -0.9368398570741038, -0.6211872947553025, -0.4179352209041433, -0.2665915134510873, -0.1411219691919299, -0.022450218325774665]"
0.266578947368421,2,2,0,"[[0.15088955348827077, 0.8491104465117292], [0.8491104465117292, 0.15088955348827077]]","['optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal', 'optimal']",0.00723998598425921,7.492940515158995,8,28.47772713401355,"[214, 214, 214, 214, 214, 214, 214, 214]",38,"[-3.5185216750596613, -1.5568701823343842, -0.9382146414443069, -0.6222440819290864, -0.41874363739005166, -0.26716022714449333, -0.14144193976585245, -0.022504144106900128]"
