N,n_x,n_b,n_trunc,p_obs,pg,status,H_min_bits,runtime_sec,num_constraints,num_blocks,num_words_per_block
0.005,2,2,0,"[[0.4437685419908576, 0.5562314580091424], [0.5562314580091424, 0.4437685419908576]]",0.822955740164699,optimal,0.281113252529571,1.1794988638721406,91,2,46
0.02368421052631579,2,2,0,"[[0.37911973180745595, 0.620880268192544], [0.620880268192544, 0.37911973180745595]]",0.8764330191614829,optimal,0.19028425674456176,1.0424596939701587,91,2,46
0.042368421052631576,2,2,0,"[[0.3402899926581956, 0.6597100073418044], [0.6597100073418044, 0.3402899926581956]]",0.906682304481905,optimal,0.14133096644707938,1.0631687508430332,91,2,46
0.061052631578947365,2,2,0,"[[0.3105907269258653, 0.6894092730741347], [0.6894092730741347, 0.3105907269258653]]",0.9278715962900058,optimal,0.10800292338451431,0.9973687638994306,91,2,46
0.07973684210526316,2,2,0,"[[0.2861204628394568, 0.7138795371605432], [0.7138795371605432, 0.2861204628394568]]",0.9439061393720705,optimal,0.08328468762527003,1.0573147530667484,91,2,46
0.09842105263157895,2,2,0,"[[0.2651845769033508, 0.7348154230966493], [0.7348154230966493, 0.2651845769033508]]",0.9564815082884933,optimal,0.06419101775180246,0.9986551289912313,91,2,46
0.11710526315789474,2,2,0,"[[0.24685722816064665, 0.7531427718393533], [0.7531427718393533, 0.24685722816064665]]",0.966524831967033,optimal,0.04912129623721191,1.0580739069264382,91,2,46
0.13578947368421052,2,2,0,"[[0.23056346553582524, 0.7694365344641747], [0.7694365344641747, 0.23056346553582524]]",0.9746150815010406,optimal,0.03709554746649723,1.0223646499216557,91,2,46
0.15447368421052632,2,2,0,"[[0.21591534618854524, 0.7840846538114548], [0.7840846538114548, 0.21591534618854524]]",0.9811390752778629,optimal,0.027470443669612193,1.0597455049864948,91,2,46
0.17315789473684212,2,2,0,"[[0.20263536147403188, 0.7973646385259681], [0.7973646385259681, 0.20263536147403188]]",0.9863754971677641,optimal,0.019791133096348716,0.9952349129598588,91,2,46
0.1918421052631579,2,2,0,"[[0.19051619274217146, 0.8094838072578285], [0.8094838072578285, 0.19051619274217146]]",0.9905373512209948,optimal,0.01371671754613721,1.0552068338729441,91,2,46
0.21052631578947367,2,2,0,"[[0.1793976789434708, 0.8206023210565292], [0.8206023210565292, 0.1793976789434708]]",0.9937785032543041,optimal,0.009003760066996158,1.0019879199098796,91,2,46
0.22921052631578948,2,2,0,"[[0.16915275035081673, 0.8308472496491832], [0.8308472496491832, 0.16915275035081673]]",0.996235777767514,optimal,0.005440871508957364,1.0739641510881484,91,2,46
0.24789473684210528,2,2,0,"[[0.1596783859718806, 0.8403216140281193], [0.8403216140281193, 0.1596783859718806]]",0.9980061560874789,optimal,0.00287938019708583,1.03012609295547,91,2,46
0.266578947368421,2,2,0,"[[0.15088955348827077, 0.8491104465117292], [0.8491104465117292, 0.15088955348827077]]",0.9991769486286579,optimal,0.001187901050712461,1.0640670130960643,91,2,46
0.28526315789473683,2,2,0,"[[0.14271500551110844, 0.8572849944888916], [0.8572849944888916, 0.14271500551110844]]",0.9998206891050271,optimal,0.00025871413477956625,1.0213643801398575,91,2,46
