N,n_x,n_trunc,status,value,runtime_sec,num_constraints,num_words
0.01,2,0,optimal,0.5992529661754588,0.24942070594988763,46,26
0.12,2,0,optimal,0.8166900217979325,0.16257094708271325,46,26
0.23,2,0,optimal,0.9040419360542629,0.15851835999637842,46,26
0.34,2,0,optimal,0.9529385342208179,0.17522568115964532,46,26
0.45,2,0,optimal,0.9806853495774688,0.16055651102215052,46,26
0.56,2,0,optimal,0.9949032488432157,0.20829370198771358,46,26
0.67,2,0,optimal,0.9998628816603659,0.1619596709497273,46,26
0.78,2,0,optimal,0.9999999706769129,0.16284198500216007,46,26
0.89,2,0,optimal,0.9999999399240587,0.1628385609947145,46,26
1.0,2,0,optimal,0.9999999622437117,0.16233086492866278,46,26
0.01,2,1,optimal,0.5992529744889697,0.26336672296747565,64,35
0.12,2,1,optimal,0.8166899799335499,0.2566546821035445,64,35
0.23,2,1,optimal,0.9040419815879891,0.30963677703402936,64,35
0.34,2,1,optimal,0.9529385400282933,0.25829793815501034,64,35
0.45,2,1,optimal,0.980685430254878,0.26042357785627246,64,35
0.56,2,1,optimal,0.994903259936019,0.2582931730430573,64,35
0.67,2,1,optimal,0.9998628725681462,0.2612195909023285,64,35
0.78,2,1,optimal,0.9999999778599851,0.2664370071142912,64,35
0.89,2,1,optimal,0.999999981909468,0.31013129209168255,64,35
1.0,2,1,optimal,0.9999999734123275,0.2615802742075175,64,35
0.01,2,2,optimal,0.5992529933876528,0.40357703203335404,84,44
0.12,2,2,optimal,0.816689929463928,0.3965398019645363,84,44
0.23,2,2,optimal,0.9040418958195731,0.40295275091193616,84,44
0.34,2,2,optimal,0.9529385205393579,0.4269559090025723,84,44
0.45,2,2,optimal,0.9806853654642458,0.3875697471667081,84,44
0.56,2,2,optimal,0.9949032087929555,0.39099302398972213,84,44
0.67,2,2,optimal,0.9998628761741403,0.44614762999117374,84,44
0.78,2,2,optimal,0.9999999781580675,0.3956319571007043,84,44
0.89,2,2,optimal,0.9999999829456565,0.3889883579686284,84,44
1.0,2,2,optimal,0.9999999840693474,0.38733817217871547,84,44
